Station,C,Gamma,RMSE,MAE
CP01,1,0.01,1.502457564687626,1.2594605474349478
LS01,1,0.01,1.9081295444364004,1.430414810034051
LS03,1,0.1,1.4889203057234692,1.2899028331390052
PN01,1,0.1,4.1510773570633654,2.9458097131693486
SK01,1,0.01,8.76310827467536,6.6763409534801195
SK06,100,0.01,1.7396692875945987,1.522381919634171
TP011,10,0.01,3.2024146758486487,2.4272605568468997
TP01,1,scale,1.5704898344758436,1.379878039867529
TP04,1,0.01,1.9425163745092096,1.6263799454059586
