Station,Secchi_ARIMA_Order,Secchi_AIC,Secchi_RMSE,Secchi_MAE,TSI_ARIMA_Order,TSI_AIC,TSI_RMSE,TSI_MAE
CP01,"(0, 1, 1)",40.909466323666436,0.10726173868914275,0.08287008037658213,"(2, 0, 1)",531.8677308755784,1.1206176582585312,0.8702514618989722
LS01,"(1, 0, 2)",288.25851845248906,0.3399595632905305,0.3126024956225461,"(2, 0, 0)",1072.672872792506,1.6694896505559316,1.3565733144902072
LS03,"(1, 0, 0)",-201.20935378016358,0.11493070569756372,0.09845096822121499,"(1, 0, 2)",623.3676701975332,1.4926944572059238,1.311258809741275
PN01,"(0, 0, 1)",-191.13473641619242,0.11368994370579336,0.102368477284468,"(2, 0, 2)",711.2684716855738,2.2011292437353953,1.8196939032868302
SK01,"(1, 0, 0)",-118.04927531298618,0.06682612907881787,0.05688784460937508,"(0, 0, 1)",458.03952341366045,3.00544569456168,2.450679780242088
SK06,"(0, 0, 2)",-198.1886384483645,0.08080993169272126,0.054029535781815546,"(1, 0, 0)",318.0667333457927,1.0094810023987129,0.8896463830735466
TP011,"(1, 0, 0)",-223.95098176206133,0.043045525955714,0.03487104393550946,"(1, 1, 1)",324.67647589414526,3.6542657056244816,3.4389490845214628
TP01,"(2, 0, 2)",-65.1827922347539,0.1762525587636419,0.14907621579070543,"(1, 0, 1)",526.0111140009426,1.2105391606363118,0.8979068811221257
TP04,"(2, 0, 1)",-178.26811861293118,0.07750325420495836,0.06784341768765792,"(2, 0, 1)",557.880841001898,1.3291522429697902,1.083170011256675
