Station,TSI_LSTM_RMSE,TSI_LSTM_MAE
CP01,0.10516465742083288,0.09115587264723633
LS01,0.15300644744897818,0.12461836876460959
LS03,0.10574944301659502,0.08569078679759914
PN01,0.16310733247549294,0.1272912313689561
SK01,0.2478990159604998,0.21917322539851028
SK06,0.11721614333979391,0.10550108087070509
TP011,0.1150122414077526,0.08330407318847517
TP01,0.1095889121333911,0.08436772145090643
TP04,0.1087680612076512,0.090259441844478
