Date,Chlorophyll_a,Secchi_Depth,TSI
2018-02-11,26.971041893979063,1.255320233509771,62.68500779937985
2018-12-23,51.46356417646479,1.4121317381656788,68.53468624491751
2018-12-28,51.70169431673658,1.2884677457709628,68.46014781504482
2019-01-27,43.80810166998163,1.1767820325880067,66.4811049862263
2019-02-06,40.08067411712026,1.1867790531709208,65.6171706033196
2019-02-11,50.15159930512565,1.198208466554952,67.02396277602907
2019-02-16,45.2624264244975,1.1692366892187382,66.20295203777597
2019-02-21,45.39312685604782,1.1951525107477052,66.00708286491677
2019-02-26,38.87805569825904,1.165254802526886,64.9394753548491
2019-03-08,42.325446567901295,1.157626894263282,65.65447882951135
2019-03-23,40.53548454227488,1.2050534564786346,65.62848653993582
2019-03-28,28.37656546370126,1.2615315258572763,63.31381421944876
2019-04-17,38.09911126082909,1.1705187795165333,64.86575806488955
2019-04-22,30.185917163799367,1.4724334938738315,63.52396953775288
2019-05-02,47.93016748641425,1.1959877630998903,66.54546145514263
2019-07-26,57.35487474418986,1.2343325647985692,68.95160838031846
2019-08-20,62.58229083223585,1.2717936436039503,70.0397233512551
2019-11-13,61.32399081521323,1.2392108910205597,69.9307051129094
2019-11-18,62.98455025996677,1.3441231497823791,70.3158294492082
2019-11-23,66.07745835712237,1.2299096448974494,70.45398267908796
2019-12-23,60.92817681378212,1.2045857880805122,69.91610151560378
2019-12-28,53.68870893621817,1.328024014814227,69.02051185685684
2020-01-07,49.90686043285926,1.2310882350507233,68.17566918540076
2020-01-27,44.1504010750278,1.171551974452712,66.936956040033
2020-02-06,40.14867756001571,1.1974348529931829,65.96151893167217
2020-02-26,47.42276914645988,1.2306631793510876,66.9714807395828
2020-03-07,42.6330989107619,1.2065719274978877,66.11064374289428
2020-03-12,39.6696884443042,1.1783872818531396,65.54389992787588
2020-03-17,37.19392347098546,1.2091898920756063,65.11906301869175
2020-03-22,37.91850190541372,1.1676036874591784,64.94394191813575
2020-03-27,38.51241028803094,1.1748515057179223,65.11884774725003
2020-04-01,39.8727745025457,1.1547841913912429,65.45374666341328
2020-04-11,34.680953301364006,1.1821044845321125,64.42226060169193
2020-04-21,27.983202020673005,1.3045416875110856,63.14518748711906
2020-07-05,74.23738236350266,1.3214008977377152,71.68691373796116
2020-08-24,61.886838988714494,1.30716231203888,70.35081043389745
2020-08-29,62.407550729326914,1.2237664463170208,70.08836827445982
2020-12-07,47.7545119519155,1.21486184391329,67.02659371438534
2021-02-10,44.22108151951736,1.1992286979943705,66.67926655633563
2021-02-15,41.611170343897584,1.1537210494563632,66.02920732222977
2021-02-25,43.0591637938972,1.1523054628815947,66.07544207097015
2021-03-02,44.90412921905573,1.184468323202173,66.04752642704119
2021-03-07,48.87000673462046,1.1925522466918843,66.71859583328937
2021-04-11,43.58545478083406,1.2915116655391654,66.4968606335165
2021-04-21,55.90383792693193,1.2948083984109038,68.45958443201435
2021-04-26,49.49607249375882,1.2040025572828423,67.47185698916557
2021-06-20,43.94230470786007,1.3199883173899432,67.14742870055188
2021-06-30,58.33182947565633,1.2978538665537471,69.6967434888424
2021-09-18,56.55182178860402,1.2472321048546082,69.12344187758745
2021-09-23,35.236035422860425,1.2949174736379785,64.78183012643538
2021-11-07,58.05742941421322,1.2826718905416814,69.3956970473127
2021-12-07,37.26852603286444,1.3235416318023938,65.24434103465195
2021-12-12,43.87328970624581,1.1852658583242814,66.35867939788251
2021-12-27,51.71152427377686,1.2937554081583464,68.51073754034107
2022-01-06,46.93200722981224,1.239885335200532,67.26667447954364
2022-01-16,43.93614696878029,1.2158762448130704,66.79619508363218
2022-01-21,40.80655636812389,1.1686933987031976,65.99642726747227
2022-03-12,24.757945532110863,1.270992323548994,61.92189302342103
2022-03-27,26.05822838426825,1.2887218464218235,62.26187178355152
2022-04-01,25.04269667808329,1.2756242799200546,61.97254633609785
2022-04-16,25.55899534415582,1.2848777807877818,62.137541411769725
2022-08-19,27.532530519022277,1.2957375529145136,62.77882569289893
2023-03-07,24.98957307980844,1.2878344648053055,62.01427728228951
2023-03-12,24.927105408767357,1.306465271927017,61.98433956233141
2023-04-01,23.81631053796553,1.2697884838863334,61.50566380126453
2023-04-06,25.370051325765136,1.2720415283050024,62.05727405834882
2023-04-11,25.237133201389085,1.2716973634265722,62.042337900560966
2023-06-20,27.575162144054055,1.3204796180041052,62.84636088782055
2023-08-24,29.909185968271917,1.299031501271772,63.52319406596399
2024-02-25,23.351171338966296,1.2599497979723602,61.30706297925474
2024-04-05,22.422679524363243,1.2416377572867787,60.96649450132425
2024-04-15,21.68275439840997,1.229943467889766,60.6464348253949
2025-01-10,23.67588149502116,1.316515914206671,61.42784210658538
2025-01-30,23.75300122962541,1.3083954343092403,61.42989996913804
2025-02-14,24.53818077560925,1.2426053825996373,61.67337624479879
2025-03-16,26.70274722802472,1.2564250142264473,62.445561030801535
2025-03-31,25.469897163912183,1.2858575025159853,62.07802434629049
2025-04-25,30.41222736059768,1.276460518413434,63.343331857210906
2025-10-02,34.79152420853838,1.3088575330478844,65.0289306339677
2025-12-01,26.713526244134822,1.2680793530627257,62.30340083870569
2025-12-03,24.641169408167556,1.257381472011539,61.70863142005521
